month,recovery,payers,payments,recovery_per_payer,mom_cash_pct,mom_payer_pct,mom_rpp_pct
2026-01,187229127.59,2374,2464,78866.52383740523,,,
2026-02,170142453.76,2173,2268,78298.41406350667,-9.126076722109676,-8.46672283066554,-0.7203433678271365
2026-03,188912374.02,2419,2524,78095.23522943366,11.031885249801654,11.32075471698113,-0.25949291119513607
2026-04,175138043.41,2304,2406,76014.77578559027,-7.291386115629317,-4.754030591153368,-2.6640030441438145
2026-05,184250278.5,2344,2449,78605.06761945393,5.202887341083384,1.736111111111116,3.407616226047838
2026-06,175559726.97,2286,2366,76797.78082677165,-4.716710118839796,-2.4744027303754246,-2.299198827016846
2026-07,187242265.08,2335,2441,80189.40688650965,6.654452197910032,2.1434820647419084,4.416307376626283
2026-08,47109695.31,608,616,77483.05149671053,-74.84024491485819,-73.96145610278373,-3.37495374373995
